USD,CAD,时间,开,高,低,手,成交量
,,2010-03-02 00:00:00,1.04185,1.04185,1.0414,1.04155,61.9
,,2010-03-02 00:01:00,1.0415,1.0416,1.04145,1.0416,54.8
,,2010-03-02 00:02:00,1.0416,1.04165,1.0413,1.04165,72.8
,,2010-03-02 00:03:00,1.04165,1.04165,1.0412,1.04125,120.4
,,2010-03-02 00:04:00,1.04125,1.04145,1.04125,1.0414,87.2
,,2010-03-02 00:05:00,1.04145,1.04155,1.04145,1.04155,52.2
,,2010-03-02 00:06:00,1.04155,1.04165,1.0415,1.04165,52.3
,,2010-03-02 00:07:00,1.04165,1.04165,1.04155,1.04155,46.4
,,2010-03-02 00:08:00,1.04155,1.0416,1.0415,1.0416,22.5
,,2010-03-02 00:09:00,1.04165,1.04165,1.0416,1.0416,35.2
,,2010-03-02 00:10:00,1.0416,1.0416,1.04155,1.04155,28.5
,,2010-03-02 00:11:00,1.04155,1.04155,1.0415,1.04155,22.8
,,2010-03-02 00:12:00,1.04155,1.04155,1.04155,1.04155,5.0
,,2010-03-02 00:13:00,1.04155,1.04155,1.0415,1.0415,24.5
,,2010-03-02 00:14:00,1.04155,1.0416,1.04095,1.04095,57.6
,,2010-03-02 00:15:00,1.04095,1.04105,1.04085,1.04095,119.0
,,2010-03-02 00:16:00,1.04095,1.04105,1.0408,1.041,69.8
,,2010-03-02 00:17:00,1.041,1.0411,1.041,1.0411,66.3
,,2010-03-02 00:18:00,1.0411,1.04115,1.0411,1.0411,15.4
,,2010-03-02 00:19:00,1.04115,1.0415,1.04115,1.0414,48.9
,,2010-03-02 00:20:00,1.04145,1.0417,1.04145,1.04165,66.8
,,2010-03-02 00:21:00,1.04165,1.04165,1.0412,1.04145,61.8
,,2010-03-02 00:22:00,1.04145,1.0416,1.04145,1.04145,83.9
,,2010-03-02 00:23:00,1.04165,1.042,1.0416,1.0419,138.8
,,2010-03-02 00:24:00,1.04195,1.04235,1.0418,1.0422,234.6
,,2010-03-02 00:25:00,1.0422,1.04275,1.0421,1.04275,201.5
,,2010-03-02 00:26:00,1.04275,1.04285,1.04245,1.04255,116.4
,,2010-03-02 00:27:00,1.0425,1.04325,1.04235,1.04315,232.7
,,2010-03-02 00:28:00,1.04315,1.0432,1.04295,1.04315,172.5
,,2010-03-02 00:29:00,1.04315,1.04345,1.04295,1.0434,138.1
,,2010-03-02 00:30:00,1.0434,1.0434,1.04205,1.0432,234.0
,,2010-03-02 00:31:00,1.04325,1.04325,1.0428,1.04285,184.0
,,2010-03-02 00:32:00,1.0429,1.0434,1.0428,1.04305,140.7
,,2010-03-02 00:33:00,1.0431,1.0433,1.04295,1.04295,158.3
,,2010-03-02 00:34:00,1.0429,1.0429,1.04255,1.04285,185.7
,,2010-03-02 00:35:00,1.0429,1.04305,1.04285,1.04295,133.8
,,2010-03-02 00:36:00,1.0429,1.04295,1.04275,1.04285,69.3
,,2010-03-02 00:37:00,1.0428,1.04305,1.04275,1.04295,61.1
,,2010-03-02 00:38:00,1.04295,1.04305,1.04285,1.04285,56.3
,,2010-03-02 00:39:00,1.04285,1.04295,1.04275,1.0428,75.6
,,2010-03-02 00:40:00,1.04275,1.04275,1.04255,1.04255,130.7
,,2010-03-02 00:41:00,1.04255,1.04275,1.04255,1.04275,58.8
,,2010-03-02 00:42:00,1.04275,1.04275,1.0425,1.04275,88.8
,,2010-03-02 00:43:00,1.04275,1.04275,1.04265,1.04275,14.9
,,2010-03-02 00:44:00,1.04265,1.04305,1.04265,1.043,26.4
,,2010-03-02 00:45:00,1.04295,1.04315,1.04295,1.04295,120.6
,,2010-03-02 00:46:00,1.04295,1.04295,1.0426,1.0427,92.0
,,2010-03-02 00:47:00,1.04275,1.04275,1.04265,1.04265,25.0
,,2010-03-02 00:48:00,1.04265,1.04265,1.0424,1.04245,139.0
,,2010-03-02 00:49:00,1.04245,1.0427,1.04245,1.0426,74.7
,,2010-03-02 00:50:00,1.04265,1.04365,1.04265,1.04335,146.4
,,2010-03-02 00:51:00,1.04335,1.04335,1.04305,1.0431,72.0
,,2010-03-02 00:52:00,1.0431,1.0431,1.04305,1.0431,47.8
,,2010-03-02 00:53:00,1.0431,1.0431,1.04305,1.0431,11.2
,,2010-03-02 00:54:00,1.04315,1.0432,1.04315,1.0432,48.9
,,2010-03-02 00:55:00,1.0432,1.0433,1.04305,1.0433,59.7
